epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
31,2.412239,0.010856,0.000000,0.000000,0.000000,0.000000,0.928636,0.838736,0.095476,0.243042,27.608325,20.709762,0.154398,0.343377,0.620186,1.000000,1.000000,1.000000,0.047664,0.053269,0.619282,"[1.0, 1.0, 1.0, 0.04766355166029361, 0.04874520361237338]",1.000000,1.000000,1.000000,0.047664,0.048745,0.622357,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.07720480331982249]",1.000000,1.000000,1.000000,0.034579,0.077205,0.618388,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.057362453612254075]",1.000000,1.000000,1.000000,0.034579,0.057362
32,2.403753,0.017220,0.000000,0.000000,0.000000,0.000000,0.928632,0.838727,0.095489,0.243054,27.607636,20.709524,0.154410,0.343384,0.620186,1.000000,1.000000,1.000000,0.047664,0.053269,0.619282,"[1.0, 1.0, 1.0, 0.04766355166029361, 0.04874520361237338]",1.000000,1.000000,1.000000,0.047664,0.048745,0.622357,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.07720480331982249]",1.000000,1.000000,1.000000,0.034579,0.077205,0.618388,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.057362453612254075]",1.000000,1.000000,1.000000,0.034579,0.057362
33,2.440246,0.013413,0.000000,0.000000,0.000000,0.000000,0.928625,0.838734,0.095510,0.243033,27.606588,20.710066,0.154427,0.343364,0.620186,1.000000,1.000000,1.000000,0.047664,0.053269,0.619282,"[1.0, 1.0, 1.0, 0.04766355166029361, 0.04874520361237338]",1.000000,1.000000,1.000000,0.047664,0.048745,0.622357,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.07720480331982249]",1.000000,1.000000,1.000000,0.034579,0.077205,0.618388,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.057362453612254075]",1.000000,1.000000,1.000000,0.034579,0.057362
34,2.426199,0.009772,0.000000,0.000000,0.000000,0.000000,0.928618,0.838725,0.095535,0.243050,27.605497,20.709665,0.154445,0.343378,0.620186,1.000000,1.000000,1.000000,0.047664,0.053269,0.619282,"[1.0, 1.0, 1.0, 0.04766355166029361, 0.04874520361237338]",1.000000,1.000000,1.000000,0.047664,0.048745,0.622357,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.07720480331982249]",1.000000,1.000000,1.000000,0.034579,0.077205,0.618388,"[1.0, 1.0, 1.0, 0.03457943943233219, 0.057362453612254075]",1.000000,1.000000,1.000000,0.034579,0.057362
35,2.694460,0.041987,0.056072,0.023190,0.069211,0.114881,0.926987,0.838647,0.097348,0.242260,27.526430,20.724189,0.155615,0.342582,0.622869,1.000000,1.000000,1.000000,0.047664,0.066684,0.620752,"[1.0, 1.0, 1.0, 0.04766355161145499, 0.05609612417977965]",1.000000,1.000000,1.000000,0.047664,0.056096,0.620052,"[1.0, 1.0, 1.0, 0.034579439435142016, 0.06567867481246077]",1.000000,1.000000,1.000000,0.034579,0.065679,0.617122,"[1.0, 1.0, 1.0, 0.034579439435142016, 0.05103178851329076]",1.000000,1.000000,1.000000,0.034579,0.051032
36,2.436813,0.010321,0.000000,0.000000,0.000000,0.000000,0.926970,0.838646,0.097354,0.242262,27.524450,20.724149,0.155649,0.342583,0.622872,1.000000,1.000000,1.000000,0.047664,0.066694,0.620753,"[1.0, 1.0, 1.0, 0.047663551611435075, 0.05610191520518818]",1.000000,1.000000,1.000000,0.047664,0.056102,0.620050,"[1.0, 1.0, 1.0, 0.0345794394351668, 0.06567259050857682]",1.000000,1.000000,1.000000,0.034579,0.065673,0.617122,"[1.0, 1.0, 1.0, 0.0345794394351668, 0.05102844888073618]",1.000000,1.000000,1.000000,0.034579,0.051028
37,2.448004,0.006032,0.000000,0.000000,0.000000,0.000000,0.926939,0.838654,0.097363,0.242269,27.520706,20.723816,0.155712,0.342600,0.622872,1.000000,1.000000,1.000000,0.047664,0.066694,0.620753,"[1.0, 1.0, 1.0, 0.047663551611435, 0.05610191160659495]",1.000000,1.000000,1.000000,0.047664,0.056102,0.620050,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.06567259384305946]",1.000000,1.000000,1.000000,0.034579,0.065673,0.617122,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.05102845079364634]",1.000000,1.000000,1.000000,0.034579,0.051028
38,2.443799,0.007274,0.000000,0.000000,0.000000,0.000000,0.926933,0.838649,0.097358,0.242255,27.520195,20.724313,0.155720,0.342579,0.622872,1.000000,1.000000,1.000000,0.047664,0.066694,0.620753,"[1.0, 1.0, 1.0, 0.047663551611435, 0.05610191160659495]",1.000000,1.000000,1.000000,0.047664,0.056102,0.620050,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.06567259384305946]",1.000000,1.000000,1.000000,0.034579,0.065673,0.617122,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.05102845079364634]",1.000000,1.000000,1.000000,0.034579,0.051028
39,2.418434,0.021745,0.000000,0.000000,0.000000,0.000000,0.926921,0.838649,0.097351,0.242253,27.519254,20.724371,0.155736,0.342576,0.622872,1.000000,1.000000,1.000000,0.047664,0.066694,0.620753,"[1.0, 1.0, 1.0, 0.047663551611435, 0.05610191160659495]",1.000000,1.000000,1.000000,0.047664,0.056102,0.620050,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.06567259384305946]",1.000000,1.000000,1.000000,0.034579,0.065673,0.617122,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.05102845079364634]",1.000000,1.000000,1.000000,0.034579,0.051028
40,2.426735,0.007893,0.000000,0.000000,0.000000,0.000000,0.926895,0.838649,0.097347,0.242255,27.516573,20.724304,0.155782,0.342579,0.622872,1.000000,1.000000,1.000000,0.047664,0.066694,0.620753,"[1.0, 1.0, 1.0, 0.047663551611435, 0.05610191160659495]",1.000000,1.000000,1.000000,0.047664,0.056102,0.620050,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.06567259384305946]",1.000000,1.000000,1.000000,0.034579,0.065673,0.617122,"[1.0, 1.0, 1.0, 0.03457943943516682, 0.05102845079364634]",1.000000,1.000000,1.000000,0.034579,0.051028
41,2.407478,0.006382,0.000000,0.000000,0.000000,0.000000,0.926866,0.838627,0.097252,0.242240,27.513163,20.725794,0.155815,0.342510,0.622887,1.000000,1.000000,1.000000,0.047664,0.066773,0.620762,"[1.0, 1.0, 1.0, 0.04766355161116433, 0.056144469266788566]",1.000000,1.000000,1.000000,0.047664,0.056144,0.620041,"[1.0, 1.0, 1.0, 0.03457943943522585, 0.06562693213988349]",1.000000,1.000000,1.000000,0.034579,0.065627,0.617116,"[1.0, 1.0, 1.0, 0.03457943943522585, 0.05100241396976955]",1.000000,1.000000,1.000000,0.034579,0.051002
